DATE,GDP,GDP_standardized
1963-03-31,621.672,-0.8848000762318843
1963-06-30,629.752,-0.8837178638700354
1963-09-30,644.444,-0.8817500589170298
1963-12-31,653.938,-0.8804784593918574
1964-03-31,669.822,-0.8783510013280447
1964-06-30,678.674,-0.8771653894682567
1964-09-30,692.031,-0.8753763906418687
1964-12-31,697.319,-0.874668130868421
1965-03-31,717.79,-0.8719263029897815
1965-06-30,730.191,-0.8702653481012557
1965-09-30,749.323,-0.8677028620979274
1965-12-31,771.857,-0.8646847218303652
1966-03-31,795.734,-0.8614867039387976
1966-06-30,804.981,-0.8602481868954788
1966-09-30,819.638,-0.8582850697435457
1966-12-31,833.302,-0.8564549522048943
1967-03-31,844.17,-0.8549993230033381
1967-06-30,848.983,-0.8543546833873011
1967-09-30,865.233,-0.8521782043179887
1967-12-31,881.439,-0.8500076184843102
1968-03-31,909.387,-0.8462643423594399
1968-06-30,934.344,-0.8429216723204965
1968-09-30,950.825,-0.8407142537641065
1968-12-31,968.03,-0.8384098646941053
1969-03-31,993.337,-0.8350203166444381
1969-06-30,1009.02,-0.8329197799524982
1969-09-30,1029.956,-0.8301156712881828
1969-12-31,1038.147,-0.8290185919000758
1970-03-31,1051.2,-0.8272703099744306
1970-06-30,1067.375,-0.8251038761931304
1970-09-30,1086.059,-0.8226013940435283
1970-12-31,1088.608,-0.8222599881882866
1971-03-31,1135.156,-0.8160254806363879
1971-06-30,1156.271,-0.8131973972180168
1971-09-30,1177.675,-0.8103306059565052
1971-12-31,1190.297,-0.8086400509526369
1972-03-31,1230.609,-0.8032407756146601
1972-06-30,1266.369,-0.7984511822904379
1972-09-30,1290.566,-0.7952103045033515
1972-12-31,1328.904,-0.7900754211458563
1973-03-31,1377.49,-0.7835679496343723
1973-06-30,1413.887,-0.778693038330633
1973-09-30,1433.838,-0.7760208577822113
1973-12-31,1476.289,-0.7703350908301263
1974-03-31,1491.209,-0.7683367482015638
1974-06-30,1530.056,-0.763133690822759
1974-09-30,1560.026,-0.7591195937330794
1974-12-31,1599.679,-0.7538085829924366
1975-03-31,1616.116,-0.7516070576716803
1975-06-30,1651.853,-0.7468205449024485
1975-09-30,1709.82,-0.7390566087663973
1975-12-31,1761.831,-0.7320904024356891
1976-03-31,1820.487,-0.724234183587099
1976-06-30,1852.332,-0.7199689542971142
1976-09-30,1886.558,-0.715384820597035
1976-12-31,1934.273,-0.7089940083636662
1977-03-31,1988.648,-0.7017111745548131
1977-06-30,2055.909,-0.6927024263282887
1977-09-30,2118.473,-0.6843227810056758
1977-12-31,2164.27,-0.6781888602710727
1978-03-31,2202.76,-0.6730336184632059
1978-06-30,2331.633,-0.6557727331032368
1978-09-30,2395.053,-0.647278437560111
1978-12-31,2476.949,-0.6363095187994705
1979-03-31,2526.61,-0.6296580648264782
1979-06-30,2591.247,-0.6210007677432076
1979-09-30,2667.565,-0.6107789505363287
1979-12-31,2723.883,-0.6032358767993725
1980-03-31,2789.842,-0.5944015147727401
1980-06-30,2797.352,-0.5933956465997839
1980-09-30,2856.483,-0.5854758075937831
1980-12-31,2985.557,-0.5681880008619414
1981-03-31,3124.206,-0.5496177456938739
1981-06-30,3162.532,-0.5444844695824604
1981-09-30,3260.609,-0.5313483134174788
1981-12-31,3280.818,-0.5286415770782951
1982-03-31,3274.302,-0.529514311700796
1982-06-30,3331.972,-0.521790154905273
1982-09-30,3366.322,-0.5171894129956803
1982-12-31,3402.561,-0.5123356637653534
1983-03-31,3473.413,-0.5028459471488044
1983-06-30,3578.848,-0.48872428126123796
1983-09-30,3689.179,-0.4739468589722344
1983-12-31,3794.706,-0.45981287086470635
1984-03-31,3908.054,-0.4446313601232649
1984-06-30,4009.601,-0.4310304419662515
1984-09-30,4084.25,-0.42103216590193754
1984-12-31,4148.551,-0.41241987170896166
1985-03-31,4230.168,-0.40148832141972657
1985-06-30,4294.887,-0.39282004148822935
1985-09-30,4386.773,-0.3805130903643622
1985-12-31,4444.094,-0.3728356776423895
1986-03-31,4507.894,-0.3642904859733352
1986-06-30,4545.34,-0.35927507457459845
1986-09-30,4607.669,-0.35092690448775704
1986-12-31,4657.627,-0.34423567117423637
1987-03-31,4722.156,-0.3355928393057035
1987-06-30,4806.16,-0.32434158098333304
1987-09-30,4884.555,-0.3138415762671024
1987-12-31,5007.994,-0.29730850550791144
1988-03-31,5073.372,-0.28855196097908015
1988-06-30,5190.036,-0.2729263145703255
1988-09-30,5282.835,-0.26049707880705647
1988-12-31,5399.509,-0.24487009302656684
1989-03-31,5511.253,-0.22990341751141327
1989-06-30,5612.463,-0.21634763618186809
1989-09-30,5695.365,-0.20524397662469038
1989-12-31,5747.237,-0.19829638756109813
1990-03-31,5872.701,-0.18149209402557737
1990-06-30,5960.028,-0.16979576247567918
1990-09-30,6015.116,-0.1624174314621234
1990-12-31,6004.733,-0.16380810113453387
1991-03-31,6035.178,-0.15973038388744368
1991-06-30,6126.862,-0.14745048807262276
1991-09-30,6205.937,-0.13685940607841485
1991-12-31,6264.54,-0.12901028590002006
1992-03-31,6363.102,-0.1158091702058927
1992-06-30,6470.763,-0.10138936017012384
1992-09-30,6566.641,-0.08854773184966017
1992-12-31,6680.803,-0.07325719624899284
1993-03-31,6729.459,-0.06674034913536424
1993-06-30,6808.939,-0.0560950225858903
1993-09-30,6882.098,-0.046296312910085624
1993-12-31,7013.738,-0.0286648233910526
1994-03-31,7115.652,-0.015014750291366159
1994-06-30,7246.931,0.00256838790803465
1994-09-30,7331.075,0.013838397434694595
1994-12-31,7455.288,0.030475135566171648
1995-03-31,7522.289,0.039449060127587116
1995-06-30,7580.997,0.04731224370919907
1995-09-30,7683.125,0.06099097936401368
1995-12-31,7772.586,0.07297313284215265
1996-03-31,7868.468,0.0858152969113103
1996-06-30,8032.84,0.10783081799321925
1996-09-30,8131.408,0.12103273731038763
1996-12-31,8259.771,0.13822531471187377
1997-03-31,8362.655,0.1520053068698515
1997-06-30,8518.825,0.17292227525474502
1997-09-30,8662.823,0.19220896036384336
1997-12-31,8765.907,0.20601573995652017
1998-03-31,8866.48,0.21948620330654836
1998-06-30,8969.699,0.23331106441764743
1998-09-30,9121.097,0.2535888846106172
1998-12-31,9293.991,0.27674581828506034
1999-03-31,9411.682,0.2925090181709956
1999-06-30,9526.21,0.3078485747771623
1999-09-30,9686.626,0.3293342404007206
1999-12-31,9900.169,0.35793558624060856
2000-03-31,10002.179,0.3715985173089507
2000-06-30,10247.72,0.40448558482636837
2000-09-30,10318.165,0.41392078901330476
2000-12-31,10435.744,0.4296689879358084
2001-03-31,10470.231,0.4342880792381699
2001-06-30,10599.0,0.45153503513209553
2001-09-30,10598.02,0.4514037767020693
2001-12-31,10660.465,0.4597674835010363
2002-03-31,10783.5,0.4762464436421349
2002-06-30,10887.46,0.49017055219879435
2002-09-30,10984.04,0.5031062044150526
2002-12-31,11061.433,0.5134720040834401
2003-03-31,11174.129,0.528566187787762
2003-06-30,11312.766,0.5471348357097473
2003-09-30,11566.669,0.5811418858719399
2003-12-31,11772.234,0.6086746809416758
2004-03-31,11923.447,0.6289277227575488
2004-06-30,12112.815,0.6542911374281676
2004-09-30,12305.307,0.6800729718287881
2004-12-31,12527.214,0.7097945681877978
2005-03-31,12767.286,0.7419491333033652
2005-06-30,12922.656,0.762758951949462
2005-09-30,13142.642,0.7922232549981855
2005-12-31,13324.204,0.8165411560924932
2006-03-31,13599.16,0.8533679855683002
2006-06-30,13753.424,0.8740296697005102
2006-09-30,13870.188,0.8896687098266144
2006-12-31,14039.56,0.912353916776004
2007-03-31,14215.651,0.9359390475941143
2007-06-30,14402.082,0.9609090887861748
2007-09-30,14564.117,0.9826115986936231
2007-12-31,14715.058,1.0028282095983054
2008-03-31,14706.538,1.0016870648801182
2008-06-30,14865.701,1.0230049072252854
2008-09-30,14898.999,1.0274647472283602
2008-12-31,14608.209,0.9885171565474153
2009-03-31,14430.902,0.9647691581263337
2009-06-30,14381.236,0.9581170344674741
2009-09-30,14448.882,0.9671773485057944
2009-12-31,14651.249,0.9942818124946895
2010-03-31,14764.61,1.0094650644193865
2010-06-30,14980.193,1.0383396420932065
2010-09-30,15141.607,1.059958977015914
2010-12-31,15309.474,1.0824426085191918
2011-03-31,15351.448,1.0880644874395191
2011-06-30,15557.539,1.1156677334625138
2011-09-30,15647.68,1.1277409642186302
2011-12-31,15842.259,1.1538023255003373
2012-03-31,16068.805,1.1841452564071957
2012-06-30,16207.115,1.2026701068734482
2012-09-30,16319.541,1.217728127540926
2012-12-31,16420.419,1.2312394417288706
2013-03-31,16648.189,1.2617463117360879
2013-06-30,16728.687,1.2725279863281813
2013-09-30,16953.838,1.3026840748780124
2013-12-31,17192.019,1.3345853647984984
2014-03-31,17197.738,1.3353513514937232
2014-06-30,17518.508,1.3783143786360827
2014-09-30,17804.228,1.416582907847402
2014-12-31,17912.079,1.4310281659461352
2015-03-31,18063.529,1.4513129508721265
2015-06-30,18279.784,1.4802775343265364
2015-09-30,18401.626,1.4965967074196542
2015-12-31,18435.137,1.5010850760406833
2016-03-31,18525.933,1.51324603564544
2016-06-30,18711.702,1.538127410428646
2016-09-30,18892.639,1.5623616007895182
2016-12-31,19089.379,1.5887124003031508
2017-03-31,19280.084,1.6142548889747335
2017-06-30,19438.643,1.6354918332671096
2017-09-30,19692.595,1.6695054463508034
2017-12-31,20037.088,1.715645865060012
2018-03-31,20328.553,1.7546838633330668
2018-06-30,20580.912,1.7884841144993815
2018-09-30,20798.73,1.8176580417559653
2018-12-31,20917.867,1.833614914794776
2019-03-31,21104.133,1.85856285635321
2019-06-30,21384.775,1.896151252597516
2019-09-30,21694.282,1.9376057453547881
2019-12-31,21902.39,1.9654791426567246
2020-03-31,21706.513,1.9392439309238194
2020-06-30,19913.143,1.6990450220910318
2020-09-30,21647.64,1.931358647708581
2020-12-31,22024.502,1.9818344787866864
2021-03-31,22600.185,2.0589398326364696
2021-06-30,23292.362,2.151648063575513
2021-09-30,23828.973,2.223520224182455
2021-12-31,24654.603,2.3341027727360797
2022-03-31,25029.116,2.3842639853936434
2022-06-30,25544.273,2.453262657880398
2022-09-30,25994.639,2.5135834069591647
2022-12-31,26408.405,2.569002055487972
2023-03-31,26813.601,2.6232728624399173
2023-06-30,27063.012,2.656678266818765
2023-09-30,27610.128,2.729957437433284
2023-12-31,27956.998,2.776416224803893
2024-03-31,28284.498,2.8202806491238817
